"entryID","employeeNumber","lastName","firstName","leaveStatus","submittedDate","leaveReason","startDate","endDate","leaveDay"
"31-3","31","Aguilar","Delia","Rejected","2024-05-21","Paternity Leave","2024-05-22","2024-05-28","10"
"4-4","4","Reyes","Isabella","Rejected","2024-05-22","Sick Leave","2024-05-24","2024-05-29","4"
"7-1","7","San Jose","Brad","Approved","2024-05-22","Sick Leave","2024-05-27","2024-06-06","2"
"10-1","10","Alvaro","Roderick","Approved","2024-05-22","Maternity Leave","2024-05-25","2024-06-04","1"
"11-1","11","Salcedo","Anthony","Approved","2024-05-22","Others","2024-05-27","2024-06-03","10"
"16-1","16","Mata","Christian","Approved","2024-05-22","Sick Leave","2024-05-27","2024-06-01","5"
"20-3","20","Bautista","Mark","Approved","2024-05-22","Maternity Leave","2024-05-24","2024-05-27","8"
"24-3","24","Del Rosario","Tomas","Approved","2024-05-22","Paternity Leave","2024-05-24","2024-05-31","6"
"25-1","25","Tolentino","Jacklyn","Rejected","2024-05-22","Vacation Leave","2024-05-24","2024-05-30","5"
"25-3","25","Tolentino","Jacklyn","Rejected","2024-05-22","Sick Leave","2024-05-27","2024-05-30","4"
"8-3","8","Romualdez","Alice","Approved","2024-05-23","Vacation Leave","2024-05-24","2024-05-31","1"
"12-2","12","Lopez","Josie","Approved","2024-05-23","Maternity Leave","2024-05-28","2024-06-04","1"
"14-4","14","Martinez","Leila","Rejected","2024-05-23","Others","2024-05-25","2024-05-27","8"
"24-1","24","Del Rosario","Tomas","Rejected","2024-05-23","Paternity Leave","2024-05-24","2024-06-02","6"
"25-2","25","Tolentino","Jacklyn","Approved","2024-05-23","Others","2024-05-28","2024-06-06","1"
"3-1","3","Aquino","Bianca Sofia ","Approved","2024-05-24","Vacation Leave","2024-05-29","2024-06-07","5"
"11-3","11","Salcedo","Anthony","Rejected","2024-05-24","Others","2024-05-26","2024-06-04","2"
"13-4","13","Farala","Martha","Approved","2024-05-24","Others","2024-05-27","2024-06-03","10"
"15-1","15","Romualdez","Fredrick","Approved","2024-05-24","Sick Leave","2024-05-25","2024-06-02","2"
"17-2","17","De Leon","Selena","Approved","2024-05-24","Others","2024-05-29","2024-06-04","10"
"19-4","19","Rosario","Cydney","Approved","2024-05-24","Others","2024-05-29","2024-06-06","9"
"30-2","30","Maceda","Emelia","Rejected","2024-05-24","Others","2024-05-26","2024-06-03","1"
"33-2","33","Martinez","Carlos Ian","Approved","2024-05-24","Sick Leave","2024-05-27","2024-06-06","6"
"12-4","12","Lopez","Josie","Rejected","2024-05-25","Paternity Leave","2024-05-29","2024-06-04","6"
"21-1","21","Lazaro","Darlene","Rejected","2024-05-25","Others","2024-05-27","2024-05-31","7"
"23-4","23","Santos","Vella","Rejected","2024-05-25","Maternity Leave","2024-05-27","2024-05-30","1"
"10-4","10","Alvaro","Roderick","Rejected","2024-05-27","Paternity Leave","2024-05-30","2024-06-09","2"
"16-3","16","Mata","Christian","Rejected","2024-05-27","Maternity Leave","2024-05-28","2024-06-02","10"
"9-3","9","Atienza","Rosie","Approved","2024-05-28","Others","2024-06-01","2024-06-06","10"
"13-1","13","Farala","Martha","Approved","2024-05-28","Vacation Leave","2024-05-31","2024-06-08","10"
"19-3","19","Rosario","Cydney","Rejected","2024-05-28","Paternity Leave","2024-06-02","2024-06-05","5"
"24-4","24","Del Rosario","Tomas","Approved","2024-05-28","Sick Leave","2024-05-29","2024-06-08","7"
